"Player","Role_Type","Mat","Runs","SR","Avg","B_Wkts","B_Econ","TotalValue","optimal_bid","TotalValue_cr","optimal_bid_cr"
"DS Lehmann","Batsman",2,18,100,9,0,9.29654545454545,5912911.38010086,591291.138010086,0.59,0.06
"DS Rathi","Batsman",1,1,33.33,1,14,8.25,2e+05,20000,0.02,0
"DT Christian","All rounder",41,452,114.72,16.74,38,8.1,31335103.0227374,3133510.30227374,3.13,0.31
"DT Patil","Batsman",2,13,100,13,0,9.29654545454545,2662964.89053895,266296.489053895,0.27,0.03
"DW Steyn","Bowler",33,167,104.38,8.35,97,6.94,55959593.6965071,5595959.36965071,5.6,0.56
"Dhruv Jurel","Batsman",35,680,153.85,30.91,0,9.29654545454545,21583811.3360131,2158381.13360131,2.16,0.22
"E Lewis","Batsman",26,654,137.11,27.25,0,9.29654545454545,18515188.6239987,1851518.86239987,1.85,0.19
"EJG Morgan","Batsman",74,1406,122.58,23.83,0,9.29654545454545,34435720.5782535,3443572.05782535,3.44,0.34
"ER Dwivedi","Batsman",2,24,171.43,12,0,9.29654545454545,26391594.1519174,2639159.41519174,2.64,0.26
"F Behardien","Batsman",3,14,107.69,7,0,9.29654545454545,9825705.19641484,982570.519641484,0.98,0.1
"F du Plessis","Batsman",147,4763,135.85,37.21,0,16,131813525.025837,13181352.5025837,13.18,1.32
"FA Allen","Batsman",3,13,72.22,6.5,2,9.07,2e+05,20000,0.02,0
"FH Edwards","Batsman",2,4,80,4,5,6.6,2e+05,20000,0.02,0
"FY Fazal","Batsman",11,183,106.4,20.33,0,10,5504521.04986633,550452.104986633,0.55,0.06
"Fazalhaq Farooqi","Batsman",3,5,33.33,1.67,6,10.32,2e+05,20000,0.02,0
"G Coetzee","Batsman",7,30,93.75,5,15,10.37,19372938.0065548,1937293.80065548,1.94,0.19
"G Gambhir","Batsman",151,4197,123.66,33.05,0,9.29654545454545,93839188.437895,9383918.8437895,9.38,0.94
"GB Hogg","Bowler",4,22,100,11,23,7.47,10496005.9518325,1049600.59518325,1.05,0.1
"GC Smith","Batsman",29,731,110.09,28.12,0,9.29654545454545,11081708.1317998,1108170.81317998,1.11,0.11
"GC Viljoen","Batsman",3,3,42.86,1.5,7,9.65,2e+05,20000,0.02,0
"GD McGrath","Batsman",2,4,80,4,12,6.61,2e+05,20000,0.02,0
"GD Phillips","Batsman",8,65,120.37,9.29,2,8,9737984.49313755,973798.449313755,0.97,0.1
"GH Vihari","Batsman",23,281,88.09,14.79,1,6.71,2e+05,20000,0.02,0
"GHS Garton","Batsman",2,2,50,2,3,9,2e+05,20000,0.02,0
"GJ Bailey","Batsman",36,660,122,25.38,0,9.29654545454545,15322905.797264,1532290.5797264,1.53,0.15
"GJ Maxwell","All rounder",134,2812,155.36,24.67,41,8.3,96430138.789545,9643013.8789545,9.64,0.96
"GR Napier","Batsman",1,15,93.75,15,1,6.75,2e+05,20000,0.02,0
"Gulbadin Naib","Batsman",1,19,126.67,19,0,12,16224680.5812718,1622468.05812718,1.62,0.16
"Gurkeerat Singh","Batsman",32,511,121.09,21.29,5,7.46,10877094.2185621,1087709.42185621,1.09,0.11
"H Das","Batsman",1,2,40,2,0,9.29654545454545,2e+05,20000,0.02,0
"H Klaasen","Batsman",45,1471,170.45,40.86,0,9.29654545454545,37850611.5243109,3785061.15243109,3.79,0.38
"HC Brook","Batsman",11,186,121.57,20.67,0,9.29654545454545,7617262.3346078,761726.23346078,0.76,0.08
"HE van der Dussen","Batsman",3,22,91.67,11,0,9.29654545454545,1796867.53018689,179686.753018689,0.18,0.02
"HF Gurney","Batsman",1,1,20,1,7,8.81,2e+05,20000,0.02,0
"HH Gibbs","Batsman",36,886,110.06,28.58,0,9.29654545454545,14392879.1803653,1439287.91803653,1.44,0.14
"HH Pandya","All rounder",140,2745,147.11,28.89,78,9.18,112278559.108401,11227855.9108401,11.23,1.12
"HM Amla","Batsman",16,575,141.63,44.23,0,9.29654545454545,4782635.20478367,478263.520478367,0.48,0.05
